Rk,Pk,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS
42,42,Nick Johnson,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1
43,43,Edy Tavares,2,13,101,33,32,4,0.625,,0.273,7.8,2.5,2.5,0.3,0.2
44,44,Markel Brown,3,113,1794,584,234,132,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1
45,45,Dwight Powell,12,722,12743,4794,3031,748,0.604,0.294,0.737,17.6,6.6,4.2,1,48.6
46,46,Jordan Clarkson,12,773,21210,12233,2560,2244,0.436,0.336,0.83,27.4,15.8,3.3,2.9,24.6
47,47,Russ Smith,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2
48,48,Lamar Patterson,2,40,435,93,57,45,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1
49,49,Cameron Bairstow,2,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1
50,50,Alec Brown,,,,,,,,,,,,,,
51,51,Thanasis Antetokounmpo,7,205,1538,490,309,115,0.511,0.143,0.54,7.5,2.4,1.5,0.6,2
52,52,Vasilije Micić,2,101,1961,691,177,390,0.395,0.315,0.819,19.4,6.8,1.8,3.9,-0.6
53,53,Alessandro Gentile,,,,,,,,,,,,,,
54,54,Nemanja Dangubić,,,,,,,,,,,,,,
55,55,Semaj Christon,1,64,973,183,87,130,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1
56,56,Devyn Marble,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3
57,57,Louis Labeyrie,,,,,,,,,,,,,,
58,58,Jordan McRae,4,123,1696,846,225,167,0.417,0.355,0.772,13.8,6.9,1.8,1.4,1.7
59,59,Xavier Thames,,,,,,,,,,,,,,
60,60,Cory Jefferson,2,58,581,205,161,16,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9
