Rk,Pk,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS
1,1,Andrew Wiggins,12,784,26484,14484,3516,1807,0.45,0.357,0.725,33.8,18.5,4.5,2.3,34.2
2,2,Jabari Parker,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8
3,3,Joel Embiid,10,459,14577,12659,5024,1680,0.501,0.338,0.828,31.8,27.6,10.9,3.7,65.3
4,4,Aaron Gordon,12,733,21444,10001,4551,1956,0.485,0.334,0.697,29.3,13.6,6.2,2.7,48.3
5,5,Dante Exum,8,320,6005,1991,623,728,0.435,0.343,0.765,18.8,6.2,1.9,2.3,6.6
6,6,Marcus Smart,12,649,19101,6865,2215,2936,0.388,0.322,0.779,29.4,10.6,3.4,4.5,34.7
7,7,Julius Randle,12,731,23441,13993,6646,2836,0.472,0.335,0.756,32.1,19.1,9.1,3.9,52.3
8,8,Nik Stauskas,6,343,6701,2290,691,515,0.389,0.354,0.812,19.5,6.7,2,1.5,3.9
9,9,Noah Vonleh,8,362,5854,1685,1790,264,0.459,0.307,0.692,16.2,4.7,4.9,0.7,9.4
10,10,Elfrid Payton,9,524,13894,5121,2086,3034,0.444,0.286,0.623,26.5,9.8,4,5.8,15.1
11,11,Doug McDermott,12,698,13580,6004,1456,664,0.471,0.411,0.804,19.5,8.6,2.1,1,21.5
12,12,Dario Šarić,9,496,11107,5118,2631,942,0.443,0.36,0.838,22.4,10.3,5.3,1.9,20.9
13,13,Zach LaVine,12,673,22103,13984,2725,2641,0.47,0.39,0.833,32.8,20.8,4,3.9,37.7
14,14,T.J. Warren,9,385,10365,5497,1515,446,0.505,0.351,0.78,26.9,14.3,3.9,1.2,20.9
15,15,Adreian Payne,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6
16,16,Jusuf Nurkić,12,610,14838,7160,5408,1548,0.5,0.282,0.664,24.3,11.7,8.9,2.5,33.5
17,17,James Young,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8
18,18,Tyler Ennis,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3
19,19,Gary Harris,12,632,16844,6474,1433,1158,0.446,0.369,0.81,26.7,10.2,2.3,1.8,27.1
20,20,Bruno Caboclo,7,105,1293,442,268,72,0.403,0.308,0.836,12.3,4.2,2.6,0.7,1.5
21,21,Mitch McGary,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3
22,22,Jordan Adams,2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4
23,23,Rodney Hood,8,448,10977,4656,1160,736,0.42,0.366,0.841,24.5,10.4,2.6,1.6,17.4
24,24,Shabazz Napier,6,345,5986,2433,657,849,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1
25,25,Clint Capela,12,681,17584,8014,7062,682,0.616,0,0.546,25.8,11.8,10.4,1,70.4
26,26,P.J. Hairston,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9
27,27,Bogdan Bogdanović,9,512,14529,7256,1710,1646,0.436,0.382,0.846,28.4,14.2,3.3,3.2,24.9
28,28,C.J. Wilcox,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1
29,29,Josh Huestis,3,76,1068,187,180,23,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7
30,30,Kyle Anderson,12,720,15441,4921,3083,2001,0.478,0.34,0.715,21.4,6.8,4.3,2.8,39.6
31,31,Damien Inglis,1,20,156,36,31,10,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1
32,32,K.J. McDaniels,3,148,2092,782,324,95,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3
33,33,Joe Harris,10,504,12298,5185,1521,790,0.479,0.436,0.771,24.4,10.3,3,1.6,23.1
34,34,Cleanthony Early,2,56,801,241,123,42,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6
35,35,Jarnell Stokes,3,28,151,67,40,7,0.581,,0.531,5.4,2.4,1.4,0.3,0.6
36,36,Johnny O'Bryant,4,147,1684,509,352,69,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2
37,37,DeAndre Daniels,,,,,,,,,,,,,,
38,38,Spencer Dinwiddie,11,621,17219,8078,1851,3153,0.414,0.333,0.796,27.7,13,3,5.1,36
39,39,Jerami Grant,12,739,20638,9810,2896,1198,0.449,0.365,0.757,27.9,13.3,3.9,1.6,38.2
40,40,Glenn Robinson III,7,304,5299,1804,776,238,0.457,0.373,0.779,17.4,5.9,2.6,0.8,7.9
41,41,Nikola Jokić,11,765,24346,16789,8397,5604,0.561,0.363,0.825,31.8,21.9,11,7.3,133.7
