Rk,Pk,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS
40,40,Derrick Zimmerman,1,2,32,4,4,7,0.667,,,,16,2,2,3.5
41,41,Willie Green,12,731,14783,6059,1303,1018,0.425,0.346,0.765,20.2,8.3,1.8,1.4,12.9
42,42,Zaza Pachulia,16,1098,22240,7414,6315,1433,0.469,0,0.751,20.3,6.8,5.8,1.3,52.7
43,43,Keith Bogans,11,671,14527,4257,1817,866,0.394,0.353,0.716,21.6,6.3,2.7,1.3,20.4
44,44,Malick Badiane,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,45,Matt Bonner,12,792,13356,4632,2371,552,0.464,0.414,0.78,16.9,5.8,3,0.7,38.5
46,46,Sani Bečirovič,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,47,Mo Williams,13,818,23872,10759,2264,3990,0.434,0.378,0.871,29.2,13.2,2.8,4.9,40
48,48,James Lang,1,11,55,11,11,2,0.444,,0.6,5,1,1,0.2,0.1
49,49,James Jones,14,709,11098,3717,1276,366,0.401,0.401,0.84,15.7,5.2,1.8,0.5,25.2
50,50,Paccelis Morlende,,,,,,,,,,,,,,
51,51,Kyle Korver,17,1232,31183,11953,3643,2114,0.442,0.429,0.877,25.3,9.7,3,1.7,73.4
52,52,Remon van de Hare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,53,Tommy Smith,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,54,Nedžad Sinanović,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,55,Rick Rickert,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,56,Brandon Hunter,2,67,630,220,187,22,0.476,0,0.488,9.4,3.3,2.8,0.3,0.7
57,57,Xue Yuyang,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,58,Andreas Glyniadakis,1,13,81,17,8,1,0.471,,0.5,6.2,1.3,0.6,0.1,-0.2
