Rk,Pk,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS
1,1,LeBron James,23,1567,59202,42260,11751,11620,0.506,0.349,0.737,37.8,27,7.5,7.4,271.6
2,2,Darko Miličić,10,468,8638,2813,1971,405,0.46,0,0.574,18.5,6,4.2,0.9,7.1
3,3,Carmelo Anthony,19,1260,43514,28289,7808,3422,0.447,0.355,0.814,34.5,22.5,6.2,2.7,108.5
4,4,Chris Bosh,13,893,31936,17189,7592,1795,0.494,0.335,0.799,35.8,19.2,8.5,2,106
5,5,Dwyane Wade,16,1054,35773,23165,4933,5701,0.48,0.293,0.765,33.9,22,4.7,5.4,120.7
6,6,Chris Kaman,13,735,19642,8208,5582,921,0.489,0.042,0.743,26.7,11.2,7.6,1.3,24.6
7,7,Kirk Hinrich,13,879,27015,9594,2576,4245,0.411,0.375,0.8,30.7,10.9,2.9,4.8,52.5
8,8,T.J. Ford,8,429,11882,4797,1331,2495,0.433,0.289,0.815,27.7,11.2,3.1,5.8,16.9
9,9,Mike Sweetney,4,233,3610,1516,1045,145,0.485,0,0.689,15.5,6.5,4.5,0.6,7.8
10,10,Jarvis Hayes,7,427,9898,3553,1330,459,0.415,0.356,0.798,23.2,8.3,3.1,1.1,10.2
11,11,Mickaël Piétrus,10,557,11950,4629,1723,445,0.425,0.355,0.665,21.5,8.3,3.1,0.8,19.7
12,12,Nick Collison,14,910,18603,5359,4701,939,0.534,0.208,0.723,20.4,5.9,5.2,1,44.5
13,13,Marcus Banks,8,348,5571,2061,519,728,0.432,0.327,0.768,16,5.9,1.5,2.1,6.6
14,14,Luke Ridnour,12,830,21623,7740,1877,3713,0.431,0.349,0.862,26.1,9.3,2.3,4.5,36
15,15,Reece Gaines,3,71,605,123,53,50,0.324,0.269,0.606,8.5,1.7,0.7,0.7,-0.6
16,16,Troy Bell,1,6,34,11,4,4,0.222,0,1,5.7,1.8,0.7,0.7,-0.2
17,17,Žarko Čabarkapa,3,150,1550,640,312,85,0.427,0.273,0.733,10.3,4.3,2.1,0.6,1.1
18,18,David West,15,1034,29144,14034,6590,2273,0.495,0.265,0.817,28.2,13.6,6.4,2.2,85.8
19,19,Sasha Pavlović,10,567,8888,2787,1000,517,0.404,0.346,0.673,15.7,4.9,1.8,0.9,7
20,20,Dahntay Jones,13,624,9799,3353,1082,529,0.439,0.329,0.751,15.7,5.4,1.7,0.8,9.9
21,21,Boris Diaw,14,1064,28768,9139,4634,3684,0.493,0.336,0.717,27,8.6,4.4,3.5,51.6
22,22,Zoran Planinić,3,148,1584,561,198,165,0.405,0.289,0.677,10.7,3.8,1.3,1.1,1.5
23,23,Travis Outlaw,11,622,13026,5273,1974,514,0.423,0.337,0.744,20.9,8.5,3.2,0.8,16.5
24,24,Brian Cook,9,421,5649,2312,1115,252,0.439,0.382,0.783,13.4,5.5,2.6,0.6,10.2
25,25,Carlos Delfino,8,507,11580,4115,1815,887,0.401,0.365,0.758,22.8,8.1,3.6,1.7,22.5
26,26,Ndudi Ebi,2,19,86,40,19,4,0.486,0,0.462,4.5,2.1,1,0.2,0.1
27,27,Kendrick Perkins,14,782,17162,4214,4532,813,0.53,0,0.594,21.9,5.4,5.8,1,27.9
28,28,Leandro Barbosa,14,850,18386,9035,1720,1775,0.459,0.387,0.821,21.6,10.6,2,2.1,37.4
29,29,Josh Howard,10,507,15350,7270,2886,817,0.448,0.332,0.77,30.3,14.3,5.7,1.6,38
30,30,Maciej Lampe,3,64,632,215,142,22,0.407,0.25,0.676,9.9,3.4,2.2,0.3,-0.2
31,31,Jason Kapono,9,509,9068,3398,844,417,0.442,0.434,0.835,17.8,6.7,1.7,0.8,10.3
32,32,Luke Walton,10,564,9685,2649,1588,1317,0.429,0.326,0.715,17.2,4.7,2.8,2.3,13.5
33,33,Jerome Beasley,1,2,5,2,1,0,0.333,,,,2.5,1,0.5,0
34,34,Sofoklis Schortsanitis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,35,Szymon Szewczyk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,36,Mario Austin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,37,Travis Hansen,1,41,507,123,70,19,0.354,0.3,0.815,12.4,3,1.7,0.5,0.2
38,38,Steve Blake,13,870,20823,5662,1816,3446,0.401,0.383,0.779,23.9,6.5,2.1,4,29.1
39,39,Slavko Vraneš,1,1,3,0,0,0,0,,,,3,0,0,0
